cohort,threshold,strategy,net_benefit,n,events,analysis_type
GSE96058,0.5,Cox baseline,-0.05244755244755245,1430,299,exploratory_secondary
GSE96058,0.5,PAM50-ROR,0.0,1430,299,exploratory_secondary
METABRIC,0.05,Treat all,0.1814086364135809,1916,426,exploratory_secondary
METABRIC,0.05,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.05,Pathway ML,0.1814086364135809,1916,426,exploratory_secondary
METABRIC,0.05,Cox baseline,0.1814086364135809,1916,426,exploratory_secondary
METABRIC,0.05,PAM50-ROR,0.1814086364135809,1916,426,exploratory_secondary
METABRIC,0.075,Treat all,0.15928454550583987,1916,426,exploratory_secondary
METABRIC,0.075,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.075,Pathway ML,0.15928454550583987,1916,426,exploratory_secondary
METABRIC,0.075,Cox baseline,0.15928454550583987,1916,426,exploratory_secondary
METABRIC,0.075,PAM50-ROR,0.15928454550583987,1916,426,exploratory_secondary
METABRIC,0.1,Treat all,0.13593133843655764,1916,426,exploratory_secondary
METABRIC,0.1,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.1,Pathway ML,0.13593133843655764,1916,426,exploratory_secondary
METABRIC,0.1,Cox baseline,0.13593133843655764,1916,426,exploratory_secondary
METABRIC,0.1,PAM50-ROR,0.13593133843655764,1916,426,exploratory_secondary
METABRIC,0.125,Treat all,0.11124366239188786,1916,426,exploratory_secondary
METABRIC,0.125,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.125,Pathway ML,0.11124366239188786,1916,426,exploratory_secondary
METABRIC,0.125,Cox baseline,0.11124366239188786,1916,426,exploratory_secondary
METABRIC,0.125,PAM50-ROR,0.11124366239188786,1916,426,exploratory_secondary
METABRIC,0.15,Treat all,0.08510377010929632,1916,426,exploratory_secondary
METABRIC,0.15,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.15,Pathway ML,0.08768267223382045,1916,426,exploratory_secondary
METABRIC,0.15,Cox baseline,0.08510377010929632,1916,426,exploratory_secondary
METABRIC,0.15,PAM50-ROR,0.08510377010929632,1916,426,exploratory_secondary
METABRIC,0.175,Treat all,0.05737964193079015,1916,426,exploratory_secondary
METABRIC,0.175,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.175,Pathway ML,0.06239324349971531,1916,426,exploratory_secondary
METABRIC,0.175,Cox baseline,0.057490352375529824,1916,426,exploratory_secondary
METABRIC,0.175,PAM50-ROR,0.05737964193079015,1916,426,exploratory_secondary
METABRIC,0.2,Treat all,0.027922755741127347,1916,426,exploratory_secondary
METABRIC,0.2,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.2,Pathway ML,0.04462421711899789,1916,426,exploratory_secondary
METABRIC,0.2,Cox baseline,0.029618997912317313,1916,426,exploratory_secondary
METABRIC,0.2,PAM50-ROR,0.027922755741127347,1916,426,exploratory_secondary
METABRIC,0.225,Treat all,-0.003434574718836292,1916,426,exploratory_secondary
METABRIC,0.225,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.225,Pathway ML,0.02134823893864904,1916,426,exploratory_secondary
METABRIC,0.225,Cox baseline,0.0077614654185466925,1916,426,exploratory_secondary
METABRIC,0.225,PAM50-ROR,-0.003434574718836292,1916,426,exploratory_secondary
METABRIC,0.25,Treat all,-0.03688239387613085,1916,426,exploratory_secondary
METABRIC,0.25,Treat none,0.0,1916,426,exploratory_secondary
